"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Sweating out the last night's casino winnings","Bike","","","","2018-02-11","","50711.4609375","210","490","1142.716","","1.51486056857639","9.29800033569336","","89","","0","0","","","0.807598848237284","97.79","","","","","","","","","","","11","36","27","13","4","1","","","","","",""
"Lap Swimming","Swim","","","","2018-02-13","","1463.0400390625","","","","","0.330491389963362","1.22646273605408","","24","","","","","","1.07583911831587","41.15","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-02-13","","6494.77001953125","","","","","0.523050844669342","3.44899988174438","","77","","","","","","0.959815118336146","52.52","","","","","","","","","","","","","","","","","","","","","",""
"70 degrees outside & still road inside #ZwiftLover","Bike","","","","2018-02-15","","37040.3984375","233","411","1053.037","","1.25295857747396","8.21100044250488","","84","","0","0","","","0.951378861098353","106.42","","","","","","","","","","","13","14","15","15","14","5","","","","","",""
"Running","Run","","","","2018-02-15","","6463.2998046875","","","","","0.48648193359375","3.69000005722046","","77","","","","","","1.00744583065596","53.71","","","","","","","","","","","","","","","","","","","","","",""
"Big loop High AeT style","Bike","","","","2018-02-17","","48302.6796875","229","453","1265.848","","1.53305555555556","8.7519998550415","","89","","0","0","","","0.872017705168489","116.12","","","","","","","","","","","7","27","29","21","7","3","","","","","",""
"Running","Run","","","","2018-02-18","","7275.9599609375","","","","","0.588356912136078","3.43499994277954","","76","","","","","","0.952152417480106","58.34","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2018-02-19","","1645.92004394531","","","","","0.38589166826672","1.18255314846384","","25","","","","","","1.036560372201","42.98","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-02-20","","18966.439453125","154","514","382.614","","0.691019713878632","7.62400007247925","","88","","124","153","","","0.664925509760624","30.45","8","31","3","0","0","","","","","","20","13","5","2","1","1","","","","","",""
"Cycling","Bike","","","","2018-02-20","","34932.73046875","185","775","837.103","","1.25676286220551","7.72100019454956","","86","","134","161","","","0.811600744018351","82.15","6","45","24","0","0","","","","","","30","17","10","6","4","8","","","","","",""
"Cycling","Bike","","","","2018-02-21","","35533.48046875","","","","","1.61890745162964","6.09700012207031","","","","117","148","","","0.60156488491942","100","47","48","3","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-02-22","","6669.64013671875","","","","","0.493435829877853","3.75500011444092","","77","","","","","","1.04081401688138","58.2","","","","","","","","","","","","","","","","","","","","","",""
